blue100H,blue100V,blue500H,blue500V,blueAvg,green100H,green100V,green500H,green500V,greenAvg,label,red100H,red100V,red500H,red500V,redAvg
188.48,185.5,194.28,104.58,97.104858118,195.48,192.94,200.36,130.02,143.145394518,2,192.48,190.04,199.04,138.8,169.331605466
184.78,186.66,39.92,190.32,79.8377369802,199.38,201.34,98.92,205.32,130.144071121,3,192.98,193.98,148.56,197.32,181.439585001
219.88,220.06,208.82,37.84,75.8237541716,228.16,228.5,224.54,173.6,155.453663644,2,225.16,225.5,222.0,205.26,179.367301541
220.22,221.0,220.18,214.86,107.247163837,227.86,228.0,227.18,221.86,169.807000173,1,224.86,225.0,224.18,218.86,164.209178172
189.44,190.98,207.42,188.14,114.115785393,197.44,197.94,209.42,195.14,176.735978188,1,196.44,196.14,209.42,191.58,172.123009724
147.46,148.2,179.34,11.58,77.1985330122,152.46,153.68,179.26,26.2,106.632587422,4,150.46,149.82,173.58,113.48,172.056553004
125.0,126.2,164.2,114.9,108.792033518,139.0,140.0,172.2,128.22,168.291361921,1,138.0,139.02,171.2,128.62,162.161773675
217.06,216.66,116.34,184.7,85.0215550055,225.06,224.66,200.76,203.0,154.132044159,2,218.06,217.66,225.28,203.8,164.878733344
169.06,168.48,92.26,79.2,87.7819883162,176.06,175.48,99.3,86.56,95.468771785,5,171.06,171.12,167.78,126.08,172.275089312
211.74,212.38,212.4,193.16,108.184771748,218.1,218.74,219.4,202.28,161.75701656,1,216.3,217.02,216.4,202.2,158.735680042
132.38,132.36,137.48,139.12,59.2990600678,146.38,145.72,149.48,150.4,145.870456298,1,144.38,145.72,145.88,148.8,137.65997167
195.92,195.18,170.58,94.02,79.3389674262,199.2,198.86,200.92,147.84,148.878580347,2,193.2,192.72,205.18,169.8,180.139109615
182.42,182.54,99.4,91.74,76.559551645,195.42,195.86,113.48,104.86,94.8064673494,4,193.42,193.86,168.64,189.76,187.656607329
165.04,165.08,154.08,141.8,106.647696442,173.12,173.72,162.8,151.1,170.044099675,1,171.96,170.88,160.36,149.82,163.183697756
148.74,148.98,132.12,67.6,89.0761037458,162.74,162.34,144.92,101.44,118.190919087,4,161.06,162.26,146.68,162.6,185.801773464
198.58,196.12,39.54,2.22,40.2727098306,205.58,203.12,173.9,107.88,119.933974565,2,202.58,199.96,223.06,171.88,171.645824553
98.92,95.16,37.44,11.8,48.2231468269,112.4,112.0,50.34,45.08,83.4540235766,4,120.84,122.52,115.54,140.92,167.716055286
172.34,169.44,47.32,39.48,75.5708161078,179.34,176.38,58.12,41.7,80.6084492694,5,176.18,172.58,194.08,118.52,171.469059974
146.54,146.88,170.94,136.58,109.179001379,159.46,157.88,185.86,147.4,147.186092845,3,164.18,165.88,188.26,155.82,191.815401392
182.18,181.4,36.2,38.92,75.1853643157,189.7,187.52,57.6,45.2,82.1280917576,5,182.12,182.98,195.4,123.58,186.285985888
167.72,168.14,20.18,83.7,81.0604977347,174.44,174.14,25.32,96.98,94.856803362,5,172.0,173.14,116.96,191.36,171.522679638
182.0,181.24,49.86,188.02,82.9362677466,192.88,191.28,72.12,202.02,105.033587259,4,188.14,184.16,167.9,198.02,182.111424742
143.52,143.74,131.74,139.34,86.8931692597,158.36,159.46,145.74,149.6,157.015778342,1,155.8,155.62,143.74,147.92,151.994128666
217.0,214.38,41.02,220.78,85.5964648756,227.24,228.46,62.9,227.78,97.0022793349,5,216.0,217.14,197.9,224.78,186.061919721
99.1,96.1,20.02,26.86,50.5985389469,117.64,115.1,59.12,62.7,114.219454154,2,125.22,122.5,119.92,87.48,160.236937827
